fcode,fname,ftype,funit,frange,fpoint
so2,二氧化硫1小时平均,0,ug/m3,,0
so2_24h,二氧化硫24小时滑动平均,0,ug/m3,,0
no2,二氧化氮1小时平均,0,ug/m3,,0
no2_24h,二氧化氮24小时滑动平均,0,ug/m3,,0
pm10,颗粒物（粒径小于等于10μm）1小时平均,0,ug/m3,,0
pm10_24h,颗粒物（粒径小于等于10μm）24小时滑动平均,0,ug/m3,,0
co,一氧化碳1小时平均,0,ug/m3,,0
co_24h,一氧化碳24小时滑动平均,0,ug/m3,,0
o3,臭氧1小时平均,0,ug/m3,"[0,160,#008000|161,200,#FFFF00|201,300, #FFA500|301,400, #FF0000|401,800, #800080|801,10000,#DC143C]",1
o3_24h,臭氧日最大1小时平均,0,ug/m3,"[0,100,#008000|101,160,#FFFF00|161,215, #FF0000|216,265, #FF0000|266,800, #800080|801,10000,#DC143C]",0
o3_8h,臭氧8小时滑动平均,0,ug/m3,,1
o3_8h_24h,臭氧日最大8小时滑动平均,0,ug/m3,,0
pm2_5,颗粒物（粒径小于等于2.5μm）1小时平均,0,ug/m3,,0
pm2_5_24h,颗粒物（粒径小于等于2.5μm）24小时滑动平均,0,ug/m3,,0
532消光系数,532消光系数,0,1/m,,1
532退偏,532退偏,0,nm,,1
vis,能见度,1,,,0
wind,风力情况,1,,,0
deg,风向（360度）,1,,,0
sc,风力等级,1,节,"[0,11,#3CB371|11,17,#FFFF00|17,100,#FF6347]",0
spd,风速,1,,,0
dir,风向,1,,,0
pres,气压,1,,,0
astro,天文指数,1,,,0
mr,月升时间,1,,,0
sr,日出时间,1,,,0
ss,日落时间,1,,,0
ms,月落时间,1,,,0
cond,天气状况,1,,,0
code_n,夜间天气状况代码,1,,,0
code_d,白天天气状况代码,1,,,0
txt_n,夜间天气状况描述,1,,,0
txt_d,白天天气状况描述,1,,,0
tmp,温度,1,,,0
max,最高温度,1,,,0
min,最低温度,1,,,0
pop,降水概率,1,,,0
date,日期,1,,,0
pcpn,降水量,1,,,0
hum,相对湿度,1,,,0
aqi,AQI,1,,,0